name,version,filename,python_version
psycopg-binary,3.0.16,psycopg_binary-3.0.16-cp37-cp37m-musllinux_1_1_aarch64.whl,cp37
psycopg-binary,3.0.16,psycopg_binary-3.0.16-cp37-cp37m-musllinux_1_1_i686.whl,cp37
psycopg-binary,3.0.16,psycopg_binary-3.0.16-cp37-cp37m-musllinux_1_1_ppc64le.whl,cp37
psycopg-binary,3.0.16,psycopg_binary-3.0.16-cp37-cp37m-musllinux_1_1_x86_64.whl,cp37
psycopg-binary,3.0.16,psycopg_binary-3.0.16-cp37-cp37m-win_amd64.whl,cp37
pantsbuild.pants,2.14.0a0,pantsbuild.pants-2.14.0a0-cp37-cp37m-macosx_10_16_x86_64.whl,cp37
pantsbuild.pants,2.14.0a0,pantsbuild.pants-2.14.0a0-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.14.0a0,pantsbuild.pants-2.14.0a0-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.13.0rc2,pantsbuild.pants-2.13.0rc2-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.13.0rc2,pantsbuild.pants-2.13.0rc2-cp37-cp37m-macosx_10_16_x86_64.whl,cp37
pantsbuild.pants,2.13.0rc2,pantsbuild.pants-2.13.0rc2-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.12.1rc4,pantsbuild.pants-2.12.1rc4-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.12.1rc4,pantsbuild.pants-2.12.1rc4-cp37-cp37m-macosx_10_16_x86_64.whl,cp37
pantsbuild.pants,2.12.1rc4,pantsbuild.pants-2.12.1rc4-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
apache-flink,1.15.2,apache_flink-1.15.2-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
apache-flink,1.15.2,apache_flink-1.15.2-cp37-cp37m-manylinux1_x86_64.whl,cp37
mysql-connector-python,8.0.31,mysql_connector_python-8.0.31-cp37-cp37m-macosx_11_0_x86_64.whl,cp37
mysql-connector-python,8.0.31,mysql_connector_python-8.0.31-cp37-cp37m-manylinux1_i686.whl,cp37
mysql-connector-python,8.0.31,mysql_connector_python-8.0.31-cp37-cp37m-manylinux1_x86_64.whl,cp37
mysql-connector-python,8.0.31,mysql_connector_python-8.0.31-cp37-cp37m-win_amd64.whl,cp37
ArduCamDepthCamera,0.0.9,ArduCamDepthCamera-0.0.9-cp37-cp37m-manylinux_2_24_aarch64.whl,cp37
ArduCamDepthCamera,0.0.9,ArduCamDepthCamera-0.0.9-cp37-cp37m-manylinux_2_24_armv7l.whl,cp37
ArduCamDepthCamera,0.0.9,ArduCamDepthCamera-0.0.9-cp37-cp37m-manylinux_2_24_x86_64.whl,cp37
cozo-embedded,0.2.0,cozo_embedded-0.2.0-cp37-abi3-macosx_10_7_x86_64.whl,cp37
cozo-embedded,0.2.0,cozo_embedded-0.2.0-cp37-abi3-macosx_11_0_arm64.whl,cp37
cozo-embedded,0.2.0,cozo_embedded-0.2.0-cp37-abi3-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
cozo-embedded,0.2.0,cozo_embedded-0.2.0-cp37-abi3-win_amd64.whl,cp37
pantsbuild.pants,2.16.0.dev1,pantsbuild.pants-2.16.0.dev1-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.16.0.dev1,pantsbuild.pants-2.16.0.dev1-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.16.0.dev1,pantsbuild.pants-2.16.0.dev1-cp37-cp37m-macosx_10_16_x86_64.whl,cp37
sagemaker-tensorflow,2.11.0.1.17.0,sagemaker_tensorflow-2.11.0.1.17.0-cp37-cp37m-manylinux1_x86_64.whl,cp37
apache-flink,1.15.3,apache_flink-1.15.3-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
picard,2.8.4,picard-2.8.4-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
picard,2.8.4,picard-2.8.4-cp37-cp37m-win_amd64.whl,cp37
ligo-segments,1.4.0,ligo_segments-1.4.0-cp37-cp37m-win_amd64.whl,cp37
pantsbuild.pants,2.15.0,pantsbuild.pants-2.15.0-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.15.0,pantsbuild.pants-2.15.0-cp37-cp37m-manylinux2014_x86_64.whl,cp37
networkx-algo-common-subtree,0.2.0,networkx_algo_common_subtree-0.2.0-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,cp37
networkx-algo-common-subtree,0.2.0,networkx_algo_common_subtree-0.2.0-cp37-cp37m-manylinux_2_5_i686.manylinux1_i686.manylinux_2_17_i686.manylinux2014_i686.whl,cp37
networkx-algo-common-subtree,0.2.0,networkx_algo_common_subtree-0.2.0-cp37-cp37m-musllinux_1_1_i686.whl,cp37
networkx-algo-common-subtree,0.2.0,networkx_algo_common_subtree-0.2.0-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
networkx-algo-common-subtree,0.2.0,networkx_algo_common_subtree-0.2.0-cp37-cp37m-musllinux_1_1_x86_64.whl,cp37
networkx-algo-common-subtree,0.2.0,networkx_algo_common_subtree-0.2.0-cp37-cp37m-win32.whl,cp37
networkx-algo-common-subtree,0.2.0,networkx_algo_common_subtree-0.2.0-cp37-cp37m-win_amd64.whl,cp37
pantsbuild.pants,2.14.0rc1,pantsbuild.pants-2.14.0rc1-cp37-cp37m-manylinux2014_x86_64.whl,cp37
pantsbuild.pants,2.14.0rc1,pantsbuild.pants-2.14.0rc1-cp37-cp37m-macosx_10_15_x86_64.whl,cp37
pantsbuild.pants,2.14.0rc1,pantsbuild.pants-2.14.0rc1-cp37-cp37m-macosx_10_16_x86_64.whl,cp37
psycopg-binary,3.1.2,psycopg_binary-3.1.2-cp37-cp37m-macosx_10_9_x86_64.whl,cp37
